condition,param,n,acc,top5,prec,rec,f1
baseline,,300,0.96,0.9733333333333334,0.8716625716625717,0.857957957957958,0.8605789658421237
sunglasses,1.0,300,0.87,0.9266666666666666,0.7615723308031002,0.7405372405372405,0.7382668387113026
shadow,0.3,300,0.9633333333333334,0.9766666666666667,0.8746109746109746,0.860960960960961,0.8643229695861274
shadow,0.6,300,0.96,0.9766666666666667,0.8492025518341307,0.8353801169590643,0.83877650783305
rot+deg,+10,300,0.9566666666666667,0.9766666666666667,0.8694512694512695,0.854954954954955,0.8546655336129021
rot-deg,-10,300,0.96,0.9766666666666667,0.8507177033492823,0.8353801169590644,0.838946049333861
rot+deg,+20,300,0.9633333333333334,0.9833333333333333,0.8962121212121212,0.8848765432098765,0.8858326371484266
rot-deg,-20,300,0.9566666666666667,0.9766666666666667,0.8723587223587225,0.854954954954955,0.8559710086025876
rot+deg,+30,300,0.96,0.9766666666666667,0.893118686868687,0.880599647266314,0.8825178991974657
rot-deg,-30,300,0.96,0.9733333333333334,0.8940025252525253,0.8817901234567901,0.8822255960413855
blur,3,300,0.9566666666666667,0.9733333333333334,0.871007371007371,0.8552552552552553,0.8577524893314367
blur,7,300,0.9566666666666667,0.9766666666666667,0.85311004784689,0.8327485380116959,0.8378182297849888
noise,8,300,0.9566666666666667,0.9733333333333334,0.8483253588516746,0.8327485380116959,0.8353119641208283
noise,15,300,0.9566666666666667,0.9766666666666667,0.8478468899521531,0.8324561403508772,0.8351866508376203
brightness,-30,300,0.9566666666666667,0.9733333333333334,0.8682841932841933,0.8545795795795796,0.8569753622385201
brightness,-50,300,0.9533333333333334,0.9733333333333334,0.8533492822966506,0.8294590643274854,0.8347209115907176
brightness,30,300,0.9566666666666667,0.9733333333333334,0.8716625716625717,0.8552552552552553,0.8580049632681211
